Generation	Population	Deaths	Group_size	meanAlpha	meanAlphaAge	meanAlphaAge2	meanBeta	meanBetaAge	Relatedness	SD_GroupSize	SD_Alpha	SD_AlphaAge	SD_AlphaAge2	SD_Beta	SD_BetaAge	corr_AB	
0	4000	0	4	-4.846e-05	-3.751e-05	3.609e-05	1	7.256e-05	0.4026	0	0.002189	0.002198	0.002137	0.002113	0.002272	9.287
50	1723	1044	1.7	8.586e-05	0.000366	-0.0004625	0.9996	0.0002734	0.2108	0.87	0.008024	0.008348	0.008107	0.008109	0.008048	-2.621
100	1726	984	1.7	-0.002913	0.001652	-0.000302	0.9998	5.265e-05	0.2617	0.85	0.01295	0.01154	0.01164	0.01079	0.01153	8.847
150	1639	976	1.6	-0.00147	0.00393	0.0008347	1	0.003822	0.2821	0.8	0.01697	0.01341	0.01364	0.01277	0.01778	2.738
200	1653	1000	1.7	-0.003154	0.002929	-0.002295	0.9979	0.002004	0.2151	0.83	0.01514	0.01355	0.01773	0.01648	0.01809	4.296
250	1691	1040	1.7	-0.006646	0.005012	-0.002531	0.9993	0.0002104	0.3317	0.84	0.01956	0.01584	0.01516	0.02066	0.01725	5.908
300	1707	1018	1.7	-0.008456	0.005909	-0.001325	0.9886	-1.531e-05	0.2444	0.85	0.01992	0.01803	0.01524	0.02193	0.01641	8.186
350	1654	1056	1.7	-0.0139	0.006124	-0.003577	0.9909	-0.002477	0.3459	0.85	0.02166	0.01909	0.01738	0.02141	0.01885	12.05
400	1564	985	1.6	-0.01458	0.006163	-0.003413	0.9924	0.0003407	0.1999	0.76	0.02426	0.01763	0.01615	0.02198	0.02172	9.472
450	1680	1014	1.7	-0.01463	0.002483	-0.003512	0.9895	0.0008968	0.1767	0.85	0.02411	0.01946	0.01831	0.02738	0.0252	8.394
500	1712	986	1.7	-0.01685	0.001906	-0.006394	0.986	-0.001178	0.2601	0.87	0.025	0.01984	0.01784	0.03178	0.02578	8.259
550	1672	1076	1.7	-0.01328	0.002112	-0.005717	0.9872	0.002691	0.2684	0.84	0.03087	0.02165	0.01886	0.03376	0.02911	4.79
600	1668	974	1.7	-0.01268	0.002919	-0.007117	0.9816	0.001019	0.2249	0.82	0.03408	0.02232	0.01956	0.0347	0.03085	4.098
650	1718	993	1.7	-0.01524	-0.0008803	-0.01267	0.9872	0.001878	0.2025	0.86	0.03392	0.02306	0.02302	0.03723	0.02983	4.784
700	1763	1046	1.8	-0.01548	-0.0008844	-0.01267	0.9896	0.006273	0.2412	0.89	0.03788	0.02177	0.02164	0.0335	0.03504	5.894
