Generation	Population	Deaths	meanAlpha	meanBeta	meanDrift	SD_Alpha	SD_Beta	SD_Drift	corr_AB	
0	150	0	0.01048	0.01311	-0.3855	0.05764	0.06028	9.269	-0.03954
50	50	23	0.02778	0.02817	0.4805	0.09794	0.1024	9.509	-0.05108
100	50	24	0.02049	0.02677	0.4772	0.09036	0.1022	9.516	-0.0301
150	50	19	0.01912	0.04529	0.4824	0.09014	0.1276	9.516	-0.05177
200	50	25	0.01912	0.01707	0.4654	0.09014	0.06941	9.488	-0.008934
250	50	28	0.01912	0.04111	0.4591	0.09014	0.1404	9.511	-0.04074
300	50	20	0.03943	0.02141	0.4805	0.1582	0.07478	9.509	0.2216
350	50	31	0.02441	0.01707	0.459	0.0964	0.06941	9.515	-0.02184
400	50	27	0.01912	0.02114	0.4786	0.09014	0.07411	9.526	-0.02004
450	50	21	0.01912	0.01801	0.4928	0.09014	0.0694	9.507	-0.01183
500	50	24	0.04152	0.02911	0.4979	0.1278	0.09947	9.493	0.07434
550	50	27	0.02838	0.02217	0.4856	0.1094	0.07693	9.52	-0.04262
600	50	25	0.02533	0.02338	0.4723	0.0984	0.07411	9.517	-0.04413
650	50	23	0.03123	0.01707	0.493	0.1219	0.06941	9.5	-0.03105
700	50	27	0.01912	0.01707	0.4947	0.09014	0.06941	9.511	-0.008934
800	50	28	0.03649	0.02989	0.4898	0.1263	0.1319	9.504	0.103
850	50	28	0.03421	0.0303	0.4834	0.1246	0.1262	9.513	-0.04875
900	50	19	0.03641	0.02342	0.474	0.1169	0.08111	9.507	-0.06141
950	50	26	0.01912	0.01707	0.4696	0.09014	0.06941	9.515	-0.008934
1000	50	29	0.01912	0.02787	0.4805	0.09014	0.1008	9.509	-0.02888
1050	50	26	0.022	0.03357	0.4773	0.09177	0.1496	9.507	-0.03411
1100	50	25	0.03564	0.01707	0.4805	0.136	0.06941	9.509	-0.03579
1150	50	26	0.01912	0.01707	0.4805	0.09014	0.06941	9.509	-0.008934
1200	50	26	0.0239	0.01848	0.4783	0.09403	0.06976	9.51	-0.02612
1250	50	30	0.0249	0.02718	0.4724	0.09767	0.0974	9.498	-0.04272
1300	50	23	0.02509	0.01707	0.4773	0.0945	0.06941	9.509	-0.02405
1350	50	25	0.02234	0.01784	0.4773	0.09225	0.06943	9.512	0.152
1400	50	33	0.01912	0.02927	0.4913	0.09014	0.08941	9.513	-0.03588
1450	50	27	0.02402	0.02114	0.4739	0.09899	0.08991	9.518	0.07979
1500	50	26	0.02785	0.01707	0.4824	0.1074	0.06941	9.506	-0.0275
1550	50	19	0.02309	0.03096	0.4636	0.09351	0.1089	9.535	-0.04364
1600	50	21	0.03043	0.01707	0.4827	0.1182	0.06941	9.509	-0.03035
1650	50	30	0.03215	0.01707	0.4839	0.1263	0.06941	9.508	-0.03175
1700	50	22	0.02996	0.04071	0.4858	0.09857	0.1549	9.513	-0.06216
1750	50	22	0.03191	0.03141	0.4927	0.1248	0.1119	9.494	-0.05242
1800	50	22	0.01912	0.01707	0.4865	0.09014	0.06941	9.511	-0.008934
1850	50	25	0.01912	0.01411	0.4753	0.09014	0.05335	9.491	0.1984
1900	50	27	0.04224	0.01803	0.4566	0.1888	0.0695	9.515	-0.03741
1950	50	24	0.02199	0.04086	0.4727	0.09176	0.1191	9.497	-0.05747
2000	50	16	0.0302	0.02399	0.4751	0.1171	0.08325	9.51	-0.04657
2050	50	24	0.03756	0.02691	0.4871	0.1155	0.08328	9.501	-0.07696
2100	50	30	0.04573	0.03535	0.477	0.2042	0.1142	9.503	-0.03813
2150	50	23	0.04015	0.02981	0.4827	0.1345	0.09517	9.504	0.4662
2200	50	21	0.0194	0.01707	0.4805	0.0901	0.06941	9.509	-0.009705
2250	50	22	0.01912	0.0229	0.4758	0.09014	0.07928	9.522	0.4333
2300	50	27	0.01991	0.03708	0.4833	0.09014	0.1207	9.516	-0.04299
2350	50	28	0.02056	0.03053	0.4791	0.0904	0.1151	9.515	-0.03437
2400	50	24	0.02765	0.01707	0.4816	0.09953	0.06941	9.51	-0.02917
2450	50	21	0.03589	0.02373	0.4783	0.1194	0.08226	9.51	-0.0592
2500	50	21	0.02842	0.05047	0.482	0.1034	0.1277	9.508	-0.08164
2550	50	27	0.01387	0.01195	0.4943	0.0788	0.05495	9.506	0.02417
2600	50	23	0.02834	0.02369	0.498	0.1007	0.08211	9.532	0.06308
2650	50	25	0.04063	0.02384	0.4805	0.1694	0.08266	9.509	-0.04987
2700	50	26	0.01912	0.02663	0.4803	0.09014	0.08673	9.475	-0.03054
2750	50	22	0.01912	0.03608	0.4494	0.09014	0.1479	9.52	-0.03145
2800	50	18	0.02766	0.03464	0.5043	0.1067	0.1214	9.513	-0.05311
2850	50	23	0.02948	0.02374	0.4753	0.1054	0.0823	9.51	-0.04951
2900	50	25	0.02237	0.02199	0.4733	0.09457	0.07639	9.508	-0.03067
2950	50	22	0.01912	0.01792	0.4881	0.09014	0.0718	9.515	-0.001921
3000	50	25	0.04338	0.01753	0.4754	0.1376	0.06937	9.516	-0.05136
3050	50	28	0.02993	0.01707	0.4805	0.1101	0.06941	9.509	-0.03144
3100	50	21	0.02383	0.03475	0.4964	0.09504	0.12	9.54	-0.04894
3150	50	26	0.0272	0.01333	0.4587	0.09884	0.05703	9.475	-0.01637
3200	50	22	0.03075	0.04033	0.4967	0.1196	0.1147	9.513	-0.07065
3250	50	21	0.02736	0.01948	0.4788	0.1055	0.07085	9.508	-0.03511
3300	50	25	0.03189	0.01707	0.4605	0.125	0.06941	9.493	-0.03156
3350	50	29	0.03797	0.01707	0.4833	0.1333	0.06941	9.513	-0.04081
3400	50	22	0.02705	0.02297	0.4604	0.1044	0.07953	9.49	0.2614
3450	50	21	0.01912	0.01707	0.4678	0.09014	0.06941	9.524	-0.008934
3500	50	26	0.02994	0.01707	0.4874	0.1026	0.06941	9.512	-0.03377
3550	50	26	0.01912	0.02427	0.4664	0.09014	0.08434	9.517	0.2839
3600	50	22	0.04535	0.02988	0.4744	0.1248	0.08723	9.51	-0.09966
3650	50	27	0.02626	0.02636	0.4853	0.09767	0.09343	9.513	0.006364
3700	50	19	0.02102	0.01923	0.4687	0.09216	0.07052	9.5	0.03588
3750	50	22	0.02986	0.0251	0.4737	0.1105	0.08779	9.508	-0.04938
3800	50	23	0.02166	0.02246	0.4901	0.0945	0.07342	9.509	-0.03113
3850	50	22	0.02797	0.01354	0.4643	0.1199	0.05352	9.522	-0.05902
3900	50	21	0.03264	0.02489	0.4787	0.1122	0.07783	9.51	-0.06205
3950	50	27	0.02336	0.03458	0.4884	0.09405	0.108	9.5	0.08988
4000	50	20	0.02313	0.02123	0.4805	0.0936	0.07432	9.509	-0.03172
4050	50	26	0.03374	0.02214	0.4793	0.132	0.07686	9.502	-0.047
4100	50	30	0.02223	0.01707	0.492	0.09208	0.06941	9.517	-0.01704
4150	50	25	0.01912	0.01745	0.4805	0.09014	0.06936	9.509	-0.01012
4200	50	27	0.03389	0.03914	0.4744	0.1023	0.1154	9.498	-0.08947
4250	50	26	0.03733	0.02842	0.4983	0.1241	0.08676	9.502	-0.07339
4300	50	19	0.03135	0.02286	0.5128	0.1224	0.07916	9.495	-0.04606
4350	50	31	0.02767	0.05373	0.4805	0.1067	0.1908	9.509	-0.05974
4400	50	24	0.04096	0.02386	0.47	0.1377	0.0812	9.537	0.2892
4450	50	23	0.04825	0.04638	0.5069	0.1515	0.1563	9.526	-0.03394
4500	50	29	0.01912	0.02253	0.5105	0.09014	0.07805	9.528	-0.02279
4550	50	32	0.01912	0.02633	0.4805	0.09014	0.0933	9.509	-0.0277
4600	50	25	0.02299	0.01707	0.4903	0.106	0.06941	9.523	-0.01658
4650	50	28	0.05651	0.03534	0.4659	0.1787	0.1175	9.505	0.03547
4700	50	26	0.02388	0.02896	0.4884	0.09514	0.1065	9.497	-0.04156
4750	50	26	0.03688	0.05081	0.4548	0.132	0.1504	9.536	0.008265
4800	50	27	0.02237	0.01707	0.479	0.09474	0.06941	9.515	-0.05807
4850	50	32	0.02909	0.01707	0.4796	0.09719	0.06941	9.507	-0.03352
4900	50	26	0.04172	0.03234	0.4805	0.14	0.1139	9.509	-0.06768
4950	50	25	0.04203	0.02062	0.4826	0.1409	0.0729	9.507	-0.05805
5000	50	20	0.02775	0.01707	0.4944	0.107	0.06941	9.505	-0.02736
5050	50	27	0.03784	0.0339	0.4739	0.1568	0.1057	9.514	-0.06106
5100	50	23	0.04049	0.0132	0.471	0.1693	0.0647	9.506	-0.04878
5150	50	24	0.04037	0.03531	0.5018	0.133	0.1167	9.506	0.2164
5200	50	21	0.01912	0.01707	0.5037	0.09014	0.06941	9.515	-0.008934
5250	50	28	0.01912	0.01707	0.4922	0.09014	0.06941	9.525	-0.008934
5300	50	26	0.03255	0.01707	0.4555	0.1228	0.06941	9.507	-0.03344
5350	50	26	0.02979	0.02943	0.5077	0.1141	0.109	9.532	-0.04875
5400	50	19	0.01912	0.01707	0.4631	0.09014	0.06941	9.524	-0.008934
5450	50	23	0.02759	0.04115	0.4734	0.1109	0.1343	9.51	-0.07625
5500	50	25	0.06451	0.03272	0.5005	0.1762	0.1277	9.511	-0.08183
5550	50	19	0.01912	0.02839	0.4803	0.09014	0.1035	9.509	-0.02919
5600	50	23	0.03273	0.02308	0.4835	0.1176	0.09333	9.516	-0.005885
5650	50	17	0.02763	0.03992	0.4915	0.1019	0.1168	9.504	-0.06993
5700	50	22	0.03425	0.03358	0.4743	0.1203	0.1039	9.505	-0.07035
5750	50	28	0.01985	0.01707	0.4831	0.09013	0.06941	9.487	-0.01094
5800	50	24	0.04269	0.01707	0.4808	0.1289	0.06941	9.509	-0.05122
5850	50	25	0.02737	0.04984	0.4728	0.1056	0.1637	9.512	-0.06328
5900	50	23	0.01912	0.02465	0.4789	0.09014	0.08589	9.506	-0.02595
5950	50	27	0.0409	0.02318	0.4944	0.1373	0.08024	9.521	-0.06147
6000	50	27	0.03624	0.01707	0.4677	0.1298	0.06941	9.508	-0.03865
6050	50	28	0.03391	0.04498	0.4867	0.1149	0.1527	9.503	-0.0151
6100	50	27	0.01912	0.02513	0.4937	0.09014	0.08792	9.491	-0.02651
6150	50	23	0.01912	0.01707	0.5028	0.09014	0.06941	9.484	-0.008934
6200	50	26	0.02157	0.02544	0.4722	0.09124	0.112	9.516	-0.02725
6250	50	20	0.02119	0.01707	0.4803	0.09245	0.06941	9.513	-0.05637
6300	50	27	0.02292	0.01707	0.4622	0.0932	0.06941	9.53	-0.01866
6350	50	25	0.05499	0.03237	0.4747	0.1698	0.1421	9.508	0.2456
6400	50	26	0.01912	0.02613	0.4949	0.09014	0.08093	9.535	-0.03142
6450	50	24	0.02658	0.02158	0.4844	0.1028	0.07525	9.488	0.2905
6500	50	24	0.04195	0.01707	0.4903	0.1385	0.06941	9.506	-0.04634
6550	50	23	0.04614	0.02484	0.4802	0.1586	0.07754	9.507	-0.07123
6600	50	24	0.06944	0.01707	0.4763	0.1919	0.06941	9.503	-0.06866
6650	50	25	0.0271	0.02741	0.4636	0.1002	0.09854	9.533	-0.04784
